real_name,user_name
Pete Cashmore,mashable
CNN Breaking News,cnnbrk
The Big Picture,big_picture
The Onion,theonion
TIME.com,time
Breaking News,breakingnews
BBC Breaking News,bbcbreaking
ESPN,espn
Harvard Business Rev,harvardbiz
Gizmodo,gizmodo
TechCrunch,techcrunch
Wired,wired
Wall Street Journal,wsj
Smashing Magazine,smashingmag
Pitchfork,pitchforkmedia
Rolling Stone,rollingstone
The White House,whitehouse
CNN,cnn
TweetMeme,tweetmeme
People magazine,peoplemag
National Geographic,natgeosociety
The New York Times,nytimes
Lifehacker,lifehacker
Fox News,foxnews
waitwait,waitwait
Newsweek,newsweek
Huffington Post,huffingtonpost
New Scientist,newscientist
Mental Floss,mental_floss
The Economist,theeconomist
eMarketer,emarketer
Engadget,engadget
Cracked.com,cracked
Slate,slate
BBC Click,bbcclick
Fast Company,fastcompany
Reuters Top News,reuters
Inc. Magazine,incmagazine
E! Online,eonline
Richard MacManus,rww
gdgt,gdgt
InStyle,instyle
McKinsey Quarterly,mckquarterly
E! News,enews
NPR News,nprnews
USA TODAY Top News,usatoday
MTV,mtv
freakonomics,freakonomics
Boing Boing,boingboing
Billboard.com,billboarddotcom
Empire Magazine,empiremagazine
The Today Show,todayshow
GOOD,good
Gawker,gawker
msnbc Breaking News,msnbc_breaking
CBS News,cbsnews
Guardian Tech,guardiantech
Us Weekly,usweekly
LIFE.com,life
Scientific American,sciam
Paste Magazine,pastemagazine
Drudge Report,drudge_report
The Paris Review,parisreview
Los Angeles Times,latimes
Daily Telegraph News,telegraphnews
ABC7 Eyewitness News,abc7
Ars Technica,arstechnica
CNNMoney.com,cnnmoney
NPR Politics,nprpolitics
New York Times Photo,nytimesphoto
NY Review of Books,nybooks
Nielsen Wire,nielsenwire
io9,io9
Science Channel,sciencechannel
USA Breaking News,usabreakingnews
VANITY FAIR,vanityfairmag
CW Network,cw_network
BBC World News,bbcworld
ABCNews.com,abc
The Moment,themoment
Social Media Today,socialmedia2day
Slashdot,slashdot
The Washington Post,washingtonpost
Talking Points Memo,tpmmedia
msnbc.com,msnbc
Radiolab,wnycradiolab
CNN Live,cnnlive
World Economic Forum,davos
NPRâ€™s Planet Money,planetmoney
CNET News.com,cnetnews
POLITICO,politico
TVNewser,tvnewser
The Guardian,guardiannews
Yahoo! News,yahoonews
Seed Magazine,seedmag
TV Guide,tvguide
Travel + Leisure,travlandleisure
New York Post,newyorkpost
DISCOVER Magazine,discovermag
Science News,sciencenewsorg
